scenario,wind_condition,transmission_setting,load_served_MWh,load_shedding_MWh,avg_marginal_price,max_marginal_price,total_co2_emissions,avg_line_loading_pct,max_line_loading_pct,lines_above_60pct,lines_above_70pct
base-ext,notwindy,extendable,1300022.8762130737,,51.84332346148568,59.936030574909736,179982.1883069357,14.34247298836243,322.22207110369453,3,2
base-ext,windvariability,extendable,1368958.4066238403,,23.045885865665195,35.60185453636443,101139.23774413447,32.350663364401825,348.06754508425104,80,46
base-ext,windy,extendable,1179664.8225402832,,5.002171727367641,21.99416071646937,108.56910421497078,27.164156011234986,246.03294935277057,34,19
base2,notwindy,fixed,1300022.8762130737,,54.523992495872754,143.42946258664574,179627.34828188576,11.849893105841904,69.13563699735943,0,0
base2,windvariability,fixed,1368958.4066238403,,41.09950719925665,1112.25502745438,162112.50126885693,17.016473556631922,69.13554152027953,1,0
base2,windy,fixed,1179664.8225402832,,14.581967994811592,253.91588328667888,36931.243745971835,15.521746534133001,69.49191944358152,4,0
baseTP,notwindy,projects,1300022.8761901855,,52.70079409384434,122.47206323244157,179988.9147186479,11.326206272597783,69.13564376560954,0,0
baseTP,windvariability,projects,1368958.4066085815,,26.37533868249544,97.93697491601075,114837.07493322932,15.005917567357132,68.99537162548994,4,0
baseTP,windy,projects,1179664.822731018,,6.509903250341885,63.051391762684766,2857.3642606374656,15.312982395224276,69.13562469892334,4,0
scenario-ext,notwindy,extendable + projects,1300022.8761901855,,51.60651851953258,59.4593091074885,180121.19917931006,13.88845751057944,322.7836426368552,3,2
scenario-ext,windvariability,extendable + projects,1368958.4066085815,,22.723512027535353,34.44410827608612,98014.90031018801,30.14107583544093,603.8981285939254,60,36
scenario-ext,windy,extendable + projects,1179664.822731018,,4.727421381045189,19.990407897044015,88.2927047036918,24.361829559162526,498.7409101756364,30,10
scenario1,notwindy,fixed,1300022.8762130737,,89516.32415684348,100000.00473845124,99463.33143830116,7.213350554599257,69.3442797283703,0,0
scenario1,windvariability,fixed,1368958.4066238403,,30631.974220654534,100000.01011344302,80362.35888581874,28.853339039200605,69.97958111691452,58,0
scenario1,windy,fixed,1179664.8225402832,,13.173205131444028,90.02116678673283,5893.223832024378,23.926306288119275,69.9720628494624,34,0
scenario2,notwindy,fixed,1300022.8762130737,,58.34779233331074,125.50063009252518,164253.80161776554,13.104363286783126,69.97162752077996,3,0
scenario2,windvariability,fixed,1368958.4066238403,,43.193820693244355,144.21599410103423,91349.1834492672,26.189348598645562,69.979428577005,28,0
scenario2,windy,fixed,1179664.8225402832,,10.57977088399286,54.031247139763025,6006.0777372389,23.562369920031824,69.97513680573164,30,0
